label,sentence,label_id
neutral,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",2
positive,"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",0
neutral,"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",2
negative,The company initially estimated that it would cut up to 30 jobs .,1
neutral,The acquisition is expected to take place by the end of August 2007 .,2
neutral,"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",2
negative,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",1
neutral,Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,2
positive,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,0
neutral,"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts .",2
positive,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,0
negative,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",1
neutral,"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",2
neutral,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",2
neutral,The total value of the deliveries is some EUR65m .,2
neutral,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,2
negative,"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",1
positive,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",0
negative,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",1
positive,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,0
neutral,"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",2
positive,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,0
neutral,"- The Group - s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",2
neutral,Karppinen expects the consolidation trend to continue in the Finnish market .,2
neutral,"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",2
neutral,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,2
positive,Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,0
neutral,Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .,2
neutral,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .",2
neutral,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",2
neutral,"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",2
neutral,Scandic Feed will also diversify Tosno 's product portfolio further .,2
neutral,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,2
positive,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",0
neutral,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",2
negative,"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",1
neutral,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",2
neutral,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase .",2
neutral,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",2
neutral,The total emissions reduction from 1999 to 2017 will be thus 41 % .,2
neutral,The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .,2
neutral,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",2
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,0
neutral,U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,2
positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",0
neutral,`` This could be us .,2
negative,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",1
neutral,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",2
positive,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",0
neutral,A 2001 agreement expired earlier this month .,2
neutral,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,2
neutral,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,2
positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",0
neutral,- Tikkurila inspires you to color your life .,2
negative,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,1
neutral,City CU Welcomes DART Members DALLAS-City CU welcomes the members of DART FCU as they merge with City CU .,2
neutral,"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",2
neutral,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",2
positive,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,0
neutral,"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",2
positive,"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",0
neutral,"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",2
positive,Sales in Finland rose by 3.9 % and international growth was 0.7 % .,0
neutral,Castecka said the town hall would hold talks with other investors interested in the zone .,2
positive,"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",0
neutral,The energy shot is packed in a 100-millilitre bag with a screw cap .,2
neutral,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",2
neutral,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,2
neutral,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,2
neutral,Otherwise the situation is under control .,2
neutral,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,2
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",0
neutral,"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",2
neutral,This allows devices such as mobile phones to become a few millimetres thinner .,2
neutral,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,2
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",2
positive,"The production capacity can be tripled without any major additional investments , the company said .",0
neutral,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,2
neutral,The revenues of the business reached NOK 12 million for 2008 .,2
negative,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",1
neutral,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",2
negative,"In Sweden , there is an oversupply of pharmacies .",1
neutral,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",2
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,0
negative,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",1
negative,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",1
positive,The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .,0
positive,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",0
neutral,"Stora Enso said DeLight was suitable for a wide range of applications including food , cosmetics , home decoration and leisure products .",2
neutral,"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",2
neutral,"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",2
negative,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',1
positive,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",0
neutral,"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",2
neutral,"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology .",2
negative,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,1
neutral,International operations accounted for over 80 % of net sales .,2
neutral,"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",2
neutral,"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .",2
positive,Precedex is approved for IV sedation of initially intubated and mechanically ventilated patients in intensive care .,0
positive,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",0
neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",2
neutral,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",2
positive,The acquisition is expected to improve access to chrome ore resources in Turkey .,0
neutral,A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,2
positive,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,0
neutral,"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",2
neutral,`` We know there are some of our own people out there . '',2
positive,"Our strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",0
neutral,"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .",2
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",0
positive,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team .,0
neutral,The site will cover over six hectares .,2
negative,In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,1
neutral,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",2
neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",2
neutral,"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",2
negative,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",1
neutral,"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",2
neutral,"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",2
neutral,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,2
positive,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",0
neutral,"Purchase it for the 12MP snapper , if nothing else .",2
positive,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,0
positive,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",0
neutral,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,2
negative,The total number of filling stations has been on the decrease recently .,1
negative,"- Demand for fireplace products was lower than expected , especially in Germany .",1
neutral,"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",2
positive,It estimates the operating profit to further improve from the third quarter .,0
neutral,"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 .",2
positive,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",0
positive,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,0
neutral,The invention carries International Patent Publication No. .,2
neutral,"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",2
neutral,"At some point , it will spread also to Iran and Iraq .",2
neutral,"The share capital of Basware Corporation is 11,720,829 .",2
neutral,"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",2
neutral,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,2
positive,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",0
neutral,A PLUMBING business has announced it is sponsoring a professional darts player .,2
neutral,Competition authorities will have to approve the deal before it can be finalized .,2
